How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Same,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Same,Better,Inferior,Better,Better,Better,Inferior,Better,Better,Better,Better,Same,Better,Visitors restriction can be reduced.
Same,"No, hostel is better",Lower,Better,Same,Inferior,Inferior,Same,Inferior,Same,Inferior,Better,Same,Better,Inferior,Better,Same,Inferior,Same,Inferior,Better,4 permissions needed per semester 
Same,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Same,Same,Same,Same,Same,Permissions for outing and leave
Same,"No, hostel is better",Higher,Better,Same,Inferior,Inferior,Same,Same,Better,Inferior,Same,Better,Better,Same,Same,Better,Better,Better,Same,Same,Give more leave permission 
Same,"Yes, comparable",Same,Better,Same,Better,Same,Same,Inferior,Inferior,Same,Better,Inferior,Inferior,Same,Better,Same,Inferior,Same,Same,Better,weekend permission with parents
Lower,"No, outside is better",Lower,Better,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Inferior,Better,Same,Same,Same,Same,"More no. of permissions
extended timings
Allow to take ward out
More permissions
Provide room to store things
Allow to move out with consent "
Lower,"Yes, comparable",Lower,Inferior,Better,Same,Same,Same,Same,Better,Same,Better,Better,Better,Same,Better,Inferior,Inferior,Inferior,Same,Same,In and out time
Lower,"Yes, comparable",Lower,Better,Same,Better,Same,Inferior,Inferior,Inferior,Same,Better,Inferior,Inferior,Same,Inferior,Same,Better,Same,Same,Better,need of weekend outing
Lower,"Yes, comparable",Lower,Inferior,Inferior,Better,Same,Inferior,Same,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Better,Better,Better,Better,Better,Inferior,Changing rooms each semester 
Lower,"Yes, comparable",Lower,Same,Same,Same,Inferior,Same,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Same,Inferior,Better,Better,Better,Same,Inferior,permissions per semester
Same,"No, hostel is better",Lower,Better,Same,Same,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Same,Inferior,Same,Same,Better,Same,Inferior,Weekend shopping 
Same,"Yes, comparable",Lower,Same,Same,Same,Inferior,Same,Same,Same,Inferior,Same,Inferior,Same,Same,Inferior,Same,Better,Better,Better,Inferior,permissions per semester
